House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
2,Bishop Street,Rachael,Howarth,41,Wife,Married,Female,Tax adviser,None,No Religion
2,Bishop Street,Jacob,Howarth,9,Son,NA,Male,Student,None,Christian
2,Bishop Street,Nathan,Howarth,7,Son,NA,Male,Student,None,Christian
2,Bishop Street,Josh,Howarth,0,Son,NA,Male,Child,None,No Religion
3,Bishop Street,Melanie,Griffin,47,Head,Divorced,Female,Unemployed,None,Christian
3,Bishop Street,Matthew,Griffin,30,Son,Divorced,Male,Unemployed,None,No Religion
4,Bishop Street,Hannah,Sullivan,34,Head,Single,Female,Restaurant manager,None,Christian
4,Bishop Street,Ricky,Sullivan,10,Son,Widowed,Male,Student,None,NA
5,Bishop Street,Gillian,Page,72,Head,Widowed,Female,Retired Quality manager,None,Christian
5,Bishop Street,Alison,Elliott,3,Granddaughter,NA,Female,Child,None,NA
6,Bishop Street,Philip,Collins,50,Head,Single,Male,Chartered accountant,None,No Religion
7,Bishop Street,Rosemary,Hunt,81,Head,Married,Female,Retired Information officer,None,No Religion
7,Bishop Street,Danny,Hunt,88,Husband,Married,Male,Retired Learning mentor,None,No Religion
8,Bishop Street,Aimee,Thompson,47,Head,Widowed,Female,Facilities manager,None,No Religion
8,Bishop Street,Lewis,Thompson,15,Son,NA,Male,Student,None,NA
8,Bishop Street,Kevin,Thompson,11,Son,NA,Male,Student,None,NA
8,Bishop Street,Stephen,Thompson,7,Son,NA,Male,Student,None,NA
9,Bishop Street,Katherine,Hall,44,Head,Married,Female,Translator,None,Christian
9,Bishop Street,Graeme,Hall,50,Husband,Married,Male,Immunologist,None,No Religion
9,Bishop Street,Richard,Hall,11,Son,NA,Male,Student,None,Christian
9,Bishop Street,William,Hall,10,Son,NA,Male,Student,None,Christian
9,Bishop Street,Marilyn,Hall,7,Daughter,NA,Female,Student,None,No Religion
10,Bishop Street,Matthew,Hanson,51,Head,Single,Male,"Editor, commissioning",None,Christian
10,Bishop Street,Holly,Doyle,50,Partner,Single,Female,Government social research officer,None,Christian
11,Bishop Street,Amelia,Smith,43,Head,Single,Female,Structural engineer,None,Christian
11,Bishop Street,Ricky,Smith,7,Son,NA,Male,Student,None,NA
11,Bishop Street,Dennis,Smith,4,Son,NA,Male,Child,None,NA
11,Bishop Street,Ben,Smith,1,Son,NA,Male,Child,None,NA
11,Bishop Street,Anthony,Hall,23,Sibling,Single,Male,"Designer, jewellery",None,No Religion
12,Bishop Street,Claire,Preston,71,Head,Single,Female,Retired Operations geologist,None,Christian
13,Bishop Street,Emma,Hill,98,Head,Married,Female,Retired Hospital pharmacist,None,Christian
13,Bishop Street,Timothy,Hill,106,Husband,Married,Male,Retired Hospital doctor,None,Christian
14,Bishop Street,Barbara,Moran,83,Head,Married,Female,"Retired Engineer, maintenance (IT)",None,No Religion
14,Bishop Street,Peter,Moran,80,Husband,Married,Male,Retired Music therapist,None,No Religion
15,Bishop Street,Pauline,Begum,37,Head,Single,Female,Unemployed,None,No Religion
15,Bishop Street,Martin,Begum,3,Son,NA,Male,Child,None,NA
16,Bishop Street,Terry,Green,33,Head,Single,Male,Scientific laboratory technician,None,Muslim
16,Bishop Street,Stanley,Wilkinson,32,None,Single,Male,Set designer,None,Christian
17,Bishop Street,Kirsty,Banks,23,Head,Married,Female,Site engineer,None,No Religion
17,Bishop Street,Christopher,Banks,27,Husband,Married,Male,English as a second language teacher,None,No Religion
17,Bishop Street,Graeme,Banks,3,Son,NA,Male,Child,None,No Religion
18,Bishop Street,Sandra,Hussain,31,Head,Single,Female,Unemployed,None,Christian
18,Bishop Street,Simon,Chapman,4,Son,NA,Male,Child,None,NA
19,Bishop Street,Natalie,Davis,57,Head,Married,Female,Unemployed,None,No Religion
19,Bishop Street,Peter,Davis,59,Husband,Married,Male,Tourism officer,None,No Religion
19,Bishop Street,Josh,Bond,4,Grandson,NA,Male,Child,None,NA
19,Bishop Street,John,Coleman,4,Grandson,NA,Male,Child,None,NA
20,Bishop Street,Linda,Anderson,55,Head,Married,Female,Textile designer,None,Christian
20,Bishop Street,Mohamed,Anderson,57,Husband,Married,Male,Public house manager,None,No Religion
20,Bishop Street,Abdul,Anderson,26,Son,Single,Male,Emergency planning/management officer,Physical Disability,No Religion
20,Bishop Street,Chloe,Anderson,22,Daughter,Single,Female,University Student,None,Christian
21,Bishop Street,Judith,Owen,37,Head,Married,Female,"Programmer, applications",None,No Religion
21,Bishop Street,Mark,Owen,40,Husband,Married,Male,Commercial art gallery manager,None,No Religion
21,Bishop Street,Tracey,Owen,6,Daughter,NA,Female,Student,None,No Religion
22,Bishop Street,Jordan,Davies,61,Head,Single,Male,"Teacher, adult education",None,Christian
23,Bishop Street,Denise,Rose,26,Head,Divorced,Female,Unemployed,None,No Religion
23,Bishop Street,Abbie,Potts,44,Sibling,Single,Female,"Surveyor, building",None,Christian
23,Bishop Street,Molly,Walters,35,Visitor,Single,Female,Commissioning editor,None,Christian
23,Bishop Street,Maria,James,41,Sibling,Single,Female,Energy manager,None,Christian
23,Bishop Street,Alice,Chambers,55,Lodger,Widowed,Female,Social worker,None,Christian
24,Bishop Street,Alexander,Walker,52,Head,Divorced,Male,Broadcast presenter,None,Sikh
24,Bishop Street,Matthew,Walker,14,Son,NA,Male,Student,None,NA
24,Bishop Street,Kyle,Walker,12,Son,NA,Male,Student,None,NA
24,Bishop Street,Ben,Walker,8,Son,NA,Male,Student,None,NA
24,Bishop Street,Reece,Walker,0,Son,NA,Male,Child,None,NA
25,Bishop Street,Maria,Smith,48,Head,Single,Female,Advice worker,None,No Religion
25,Bishop Street,Kathryn,Smith,0,Daughter,NA,Female,Child,None,NA
26,Bishop Street,Luke,Connolly,33,Head,Married,Male,Manufacturing systems engineer,None,Christian
26,Bishop Street,Carly,Connolly,33,Wife,Married,Female,"Surveyor, rural practice",None,Christian
27,Bishop Street,Leanne,Jones,62,Head,Single,Female,Tourist information centre manager,None,No Religion
27,Bishop Street,Hazel,Jones,31,Daughter,Single,Female,Teaching laboratory technician,None,No Religion
28,Bishop Street,Vanessa,Moore,42,Head,Married,Female,"Nurse, learning disability",None,No Religion
28,Bishop Street,Thomas,Moore,44,Husband,Married,Male,Publishing copy,None,No Religion
28,Bishop Street,Billy,Moore,14,Son,NA,Male,Student,None,No Religion
28,Bishop Street,Tina,Moore,9,Daughter,NA,Female,Student,None,No Religion
29,Bishop Street,Sharon,Ferguson,57,Head,Single,Female,Field seismologist,None,No Religion
1,Virgo Close,Anthony,Hammond,29,Head,Married,Male,Print production planner,None,Christian
1,Virgo Close,Aimee,Hammond,29,Wife,Married,Female,Actuary,None,Christian
2,Virgo Close,Zoe,Abbott,19,Head,Single,Female,Geophysical data processor,None,Christian
3,Virgo Close,Abbie,Taylor,26,Head,Single,Female,Translator,None,Christian
4,Virgo Close,Susan,Turner,44,Head,Married,Female,Magazine features editor,None,No Religion
4,Virgo Close,Danny,Turner,48,Husband,Married,Male,Lawyer,None,No Religion
4,Virgo Close,Pauline,Turner,16,Daughter,NA,Female,Student,None,No Religion
4,Virgo Close,Lesley,Turner,12,Daughter,NA,Female,Student,None,No Religion
4,Virgo Close,Ann,Turner,8,Daughter,NA,Female,Student,None,No Religion
5,Virgo Close,Ashleigh,Jones,40,Head,Married,Female,Brewing technologist,None,No Religion
5,Virgo Close,Leon,Jones,47,Husband,Married,Male,"Teacher, English as a foreign language",None,No Religion
5,Virgo Close,Kevin,Jones,10,Son,NA,Male,Student,None,No Religion
5,Virgo Close,Kayleigh,Jones,4,Daughter,NA,Female,Child,None,No Religion
5,Virgo Close,Jeremy,Jones,1,Son,NA,Male,Child,None,No Religion
6,Virgo Close,Lisa,Gill,64,Head,Single,Female,Speech and language therapist,None,No Religion
6,Virgo Close,Antony,Thomas,40,None,Single,Male,Unemployed,None,Christian
7,Virgo Close,Sophie,Tyler,37,Head,Divorced,Female,"Solicitor, Scotland",None,Christian
7,Virgo Close,Stewart,Tyler,11,Son,NA,Male,Student,None,NA
7,Virgo Close,Deborah,Tyler,11,Daughter,NA,Female,Student,None,NA
7,Virgo Close,Lesley,Tyler,10,Daughter,NA,Female,Student,None,NA
7,Virgo Close,Mathew,Tyler,8,Son,NA,Male,Student,None,NA
8,Virgo Close,Elliott,Evans,20,Head,Divorced,Male,University Student,None,Christian
9,Virgo Close,Sean,Rogers,77,Head,Married,Male,Retired Neurosurgeon,None,Christian
9,Virgo Close,Ann,Rogers,79,Wife,Married,Female,"Retired Research officer, political party",None,Christian
10,Virgo Close,Shirley,Adams,28,Head,Married,Female,"Conservation officer, nature",None,Christian
10,Virgo Close,Max,Adams,37,Husband,Married,Male,Legal secretary,None,No Religion
11,Virgo Close,Gerard,James,59,Head,Single,Male,Outdoor activities/education manager,None,Christian
12,Virgo Close,Kim,Hargreaves,27,Head,Single,Female,Public house manager,None,Christian
13,Virgo Close,Julie,Doyle,55,Head,Divorced,Female,"Sales professional, IT",None,No Religion
13,Virgo Close,Chelsea,Doyle,19,Daughter,Single,Female,University Student,None,No Religion
13,Virgo Close,Abbie,Doyle,18,Adopted Daughter,Single,Female,Student,None,No Religion
1,Sunderlandadd Close,Grace,Powell,73,Head,Widowed,Female,"Retired Journalist, magazine",None,Christian
1,Sunderlandadd Close,Heather,Patterson-Powell,10,Granddaughter,NA,Female,Student,None,NA
1,Sunderlandadd Close,Patrick,Barrett,8,Grandson,NA,Male,Student,None,NA
2,Sunderlandadd Close,Stephanie,Armstrong,35,Head,Single,Female,Technical brewer,None,Christian
2,Sunderlandadd Close,Paul,Davis,39,Partner,Single,Male,Chief Executive Officer,None,Christian
2,Sunderlandadd Close,Rosemary,Armstrong,15,Daughter,NA,Female,Student,None,Christian
3,Sunderlandadd Close,Steven,Barnett,45,Head,Single,Male,Commissioning editor,None,Christian
4,Sunderlandadd Close,Brian,Ball,77,Head,Single,Male,"Retired Buyer, industrial",None,No Religion
5,Sunderlandadd Close,Colin,Bartlett,29,Head,Married,Male,Sports administrator,None,Christian
5,Sunderlandadd Close,Claire,Bartlett,24,Wife,Married,Female,Unemployed,None,Christian
6,Sunderlandadd Close,Clare,Payne,53,Head,Married,Female,Ceramics designer,None,Christian
6,Sunderlandadd Close,Sara,Payne,56,Wife,Married,Female,Museum education officer,None,Christian
7,Sunderlandadd Close,Steven,Moore,43,Head,Single,Male,"Engineer, maintenance",None,Christian
8,Sunderlandadd Close,Charlene,Griffiths,37,Head,Divorced,Female,Physiotherapist,None,Christian
9,Sunderlandadd Close,Anne,Begum,32,Head,Single,Female,Armed forces training and education officer,None,Hindu
9,Sunderlandadd Close,Shane,Flynn,38,Partner,Single,Male,Unemployed,None,No Religion
9,Sunderlandadd Close,June,Begum,3,Daughter,NA,Female,Child,None,Hindu
10,Sunderlandadd Close,Matthew,Taylor,65,Head,Divorced,Male,TEFL teacher,None,No Religion
11,Sunderlandadd Close,Elizabeth,Bird,51,Head,Single,Female,"Engineer, civil (contracting)",None,Sikh
12,Sunderlandadd Close,Kathryn,Phillips,31,Head,Divorced,Female,Careers information officer,None,Muslim
12,Sunderlandadd Close,Tracy,Phillips,0,Daughter,NA,Female,Child,None,NA
13,Sunderlandadd Close,Jade,Jackson,20,Head,Married,Female,University Student,None,Christian
13,Sunderlandadd Close,Jack,Jackson,22,Husband,Married,Male,University Student,None,Christian
14,Sunderlandadd Close,Harry,Clarke,59,Head,Single,Male,"Conservation officer, historic buildings",None,Christian
15,Sunderlandadd Close,Sharon,Owens,72,Head,Widowed,Female,Retired Personnel officer,None,No Religion
16,Sunderlandadd Close,Gavin,Taylor,47,Head,Single,Male,Operations geologist,None,Christian
17,Sunderlandadd Close,Jack,Potter,34,Head,Single,Male,Senior tax professional/tax inspector,None,Christian
17,Sunderlandadd Close,Sandra,White,58,None,Single,Female,Environmental manager,None,No Religion
18,Sunderlandadd Close,Jack,Roberts,48,Head,Single,Male,"Horticulturist, amenity",None,Christian
19,Sunderlandadd Close,Victoria,Newton,41,Head,Single,Female,Unemployed,None,Christian
19,Sunderlandadd Close,Conor,Newton,7,Son,NA,Male,Student,None,NA
20,Sunderlandadd Close,Tracey,Owens,57,Head,Divorced,Female,Unemployed,None,Christian
20,Sunderlandadd Close,Frances,Owens,14,Daughter,NA,Female,Student,None,NA
21,Sunderlandadd Close,Zoe,Fitzgerald,44,Head,Divorced,Female,Pathologist,None,No Religion
22,Sunderlandadd Close,Kelly,Walton,39,Head,Married,Female,Contractor,None,Christian
22,Sunderlandadd Close,Alan,Walton,44,Husband,Married,Male,Chief of Staff,None,Christian
22,Sunderlandadd Close,Thomas,Walton,6,Son,NA,Male,Student,None,Christian
22,Sunderlandadd Close,Alexandra,Walton,6,Daughter,NA,Female,Student,None,Christian
23,Sunderlandadd Close,Rita,Thompson,84,Head,Widowed,Female,"Retired Engineer, electronics",None,No Religion
24,Sunderlandadd Close,Beth,Murray,55,Head,Single,Female,"Scientist, research (life sciences)",None,Christian
25,Sunderlandadd Close,Luke,Marsden,20,Head,Divorced,Male,University Student,None,Christian
26,Sunderlandadd Close,Elizabeth,Gray,50,Head,Divorced,Female,Personnel officer,None,No Religion
26,Sunderlandadd Close,Jay,Gray,12,Son,NA,Male,Student,None,NA
27,Sunderlandadd Close,Ellie,Walker,63,Head,Single,Female,Facilities manager,None,Christian
27,Sunderlandadd Close,Dean,Walker,24,Son,Single,Male,Oceanographer,None,Christian
28,Sunderlandadd Close,Howard,Taylor,41,Head,Single,Male,Unemployed,None,No Religion
28,Sunderlandadd Close,Jacqueline,Taylor,17,Daughter,NA,Female,Student,None,NA
28,Sunderlandadd Close,Alan,Taylor,16,Son,NA,Male,Student,None,NA
29,Sunderlandadd Close,Frederick,Collins,59,Head,Single,Male,Lexicographer,None,Christian
30,Sunderlandadd Close,Antony,Davies,48,Head,Single,Male,Chief Strategy Officer,None,No Religion
31,Sunderlandadd Close,Mohammad,Stewart,73,Head,Widowed,Male,"Retired Nurse, children's",None,Christian
32,Sunderlandadd Close,Pamela,Iqbal,65,Head,Single,Female,Television production assistant,None,Christian
32,Sunderlandadd Close,Malcolm,Iqbal,31,Son,Single,Male,"Engineer, maintenance (IT)",None,No Religion
33,Sunderlandadd Close,Anne,Clarke,20,Head,Single,Female,University Student,None,No Religion
33,Sunderlandadd Close,Garry,Patel,19,Partner,Single,Male,University Student,None,No Religion
34,Sunderlandadd Close,Jenna,Allen,45,Head,Single,Female,Occupational therapist,None,Christian
35,Sunderlandadd Close,Matthew,Mitchell,73,Head,Married,Male,"Retired Engineer, manufacturing",None,Christian
35,Sunderlandadd Close,Arthur,Mitchell,69,Husband,Married,Male,"Retired Teacher, special educational needs",None,Christian
1,Taylor Close,Amy,Jones-Schofield,45,Head,Divorced,Female,Charity officer,None,Christian
1,Taylor Close,Jessica,Jones-Schofield,17,Daughter,NA,Female,Student,None,NA
1,Taylor Close,Douglas,Jones-Schofield,15,Son,NA,Male,Student,None,NA
2,Taylor Close,Rosie,Patel,49,Head,Single,Female,Museum/gallery exhibitions officer,None,Christian
2,Taylor Close,Shannon,Patel,24,Daughter,Divorced,Female,Automotive engineer,None,Christian
3,Taylor Close,Denise,Riley,47,Head,Single,Female,Firefighter,None,No Religion
3,Taylor Close,Rhys,Riley,15,Son,NA,Male,Student,None,NA
4,Taylor Close,Frederick,Butcher,81,Head,Married,Male,Retired Patent examiner,None,Christian
4,Taylor Close,Shannon,Butcher,75,Wife,Married,Female,Retired Geophysicist/field seismologist,None,No Religion
5,Taylor Close,Geraldine,Ellis,47,Head,Married,Female,Paediatric nurse,None,Christian
5,Taylor Close,Robert,Ellis,50,Husband,Married,Male,Curator,None,No Religion
5,Taylor Close,Megan,Ellis,18,Daughter,Single,Female,Student,None,Christian
5,Taylor Close,Nicola,Ellis,14,Daughter,NA,Female,Student,None,Christian
5,Taylor Close,Jenna,Clarke,10,Daughter,NA,Female,Student,None,Christian
6,Taylor Close,Janice,Coles,48,Head,Married,Female,Environmental consultant,None,Christian
6,Taylor Close,Daniel,Coles,44,Husband,Married,Male,Facilities manager,None,Christian
6,Taylor Close,Stanley,Coles,24,Son,Single,Male,Publishing rights manager,None,Christian
6,Taylor Close,Kathleen,Coles,10,Daughter,NA,Female,Student,None,Christian
7,Taylor Close,Scott,Smith,61,Head,Single,Male,Careers information officer,None,Christian
7,Taylor Close,Abigail,Baldwin,42,None,Single,Female,Unemployed,None,Christian
7,Taylor Close,Kelly,Vincent,52,None,Single,Female,Visual merchandiser,None,Christian
7,Taylor Close,Ashley,O'Brien,23,None,Single,Male,Unemployed,None,No Religion
8,Taylor Close,Eileen,Jones,24,Head,Single,Female,Newspaper journalist,None,No Religion
9,Taylor Close,Carolyn,James,33,Head,Single,Female,Occupational therapist,None,Christian
9,Taylor Close,Kevin,Begum,30,Partner,Single,Male,Psychiatric nurse,None,No Religion
9,Taylor Close,Robert,James,7,Son,NA,Male,Student,None,Christian
9,Taylor Close,Joan,James,3,Daughter,NA,Female,Child,None,No Religion
9,Taylor Close,Billy,Simmons,62,Sibling,Single,Male,Special effects artist,None,Christian
10,Taylor Close,Graham,Hardy,27,Head,Single,Male,Animal technologist,None,Hindu
10,Taylor Close,Rebecca,Parkes,51,None,Single,Female,Magazine journalist,None,Christian
11,Taylor Close,Linda,Wilson,34,Head,Single,Female,"Librarian, academic",None,Christian
11,Taylor Close,Jacob,Wilson,1,Son,NA,Male,Child,None,NA
11,Taylor Close,Abigail,Dobson,33,Lodger,Single,Female,Illustrator,None,Muslim
12,Taylor Close,Maria,Miles,36,Head,Single,Female,Company secretary,None,Jewish
13,Taylor Close,Lynne,White,19,Head,Single,Female,University Student,None,Christian
13,Taylor Close,Edward,Taylor,24,None,Single,Male,PhD Student,None,Christian
13,Taylor Close,Stacey,Gray,25,None,Single,Female,PhD Student,None,No Religion
14,Taylor Close,Vanessa,Adams,20,Head,Single,Female,University Student,None,No Religion
15,Taylor Close,Pamela,Hale,29,Head,Married,Female,Art gallery manager,None,Hindu
15,Taylor Close,Kevin,Hale,27,Husband,Married,Male,Cabin crew,None,No Religion
15,Taylor Close,Max,Hale,11,Son,NA,Male,Student,None,Hindu
15,Taylor Close,Molly,Hale,7,Daughter,NA,Female,Student,None,Hindu
16,Taylor Close,Gregory,Wilson,27,Head,Married,Male,Unemployed,None,No Religion
16,Taylor Close,Jodie,Wilson,28,Wife,Married,Female,Nutritional therapist,None,No Religion
17,Taylor Close,Ashley,Lewis,23,Head,Single,Male,Dance movement psychotherapist,None,Christian
18,Taylor Close,Sian,Blackburn,49,Head,Divorced,Female,Unemployed,None,Christian
18,Taylor Close,Sandra,Blackburn,17,Daughter,NA,Female,Student,None,NA
18,Taylor Close,Simon,Blackburn,16,Son,NA,Male,Student,None,NA
18,Taylor Close,Ross,Blackburn,9,Son,NA,Male,Student,None,NA
18,Taylor Close,Jake,Blackburn,9,Son,NA,Male,Student,None,NA
18,Taylor Close,Sam,Blackburn,9,Son,NA,Male,Student,None,NA
19,Taylor Close,Adam,Anderson,75,Head,Widowed,Male,"Retired Teacher, early years/pre",None,No Religion
19,Taylor Close,Graeme,Roberts,5,Grandson,NA,Male,Student,None,NA
1,Henry Gardens,Brian,Jennings,62,Head,Single,Male,Dealer,None,No Religion
1,Henry Gardens,Marilyn,Lord,11,Granddaughter,NA,Female,Student,None,NA
2,Henry Gardens,Abbie,Moss,32,Head,Divorced,Female,Unemployed,None,Christian
2,Henry Gardens,Simon,Moss,6,Son,NA,Male,Student,None,NA
3,Henry Gardens,Iain,Walker,46,Head,Single,Male,"Journalist, newspaper",None,No Religion
4,Henry Gardens,Mohamed,Carter,42,Head,Single,Male,Hospital doctor,None,Christian
4,Henry Gardens,Claire,Brown,54,None,Single,Female,"Restaurant manager, fast food",None,Christian
4,Henry Gardens,Scott,Yates,37,None,Single,Male,"Engineer, site",None,Christian
5,Henry Gardens,Ashleigh,James,57,Head,Married,Female,"Engineer, electrical",None,Christian
5,Henry Gardens,Frederick,James,60,Husband,Married,Male,Estate agent,None,No Religion
6,Henry Gardens,Marion,Carpenter,39,Head,Married,Female,Osteopath,None,Christian
6,Henry Gardens,Andrew,Carpenter,37,Husband,Married,Male,Sport and exercise psychologist,None,Christian
6,Henry Gardens,Damien,Carpenter,10,Son,NA,Male,Student,None,Christian
6,Henry Gardens,Stuart,Carpenter,6,Son,NA,Male,Student,None,No Religion
7,Henry Gardens,Diane,Nolan,20,Head,Single,Female,University Student,None,No Religion
7,Henry Gardens,Marilyn,Morris,19,None,Single,Female,University Student,None,No Religion
8,Henry Gardens,Ian,Smith,59,Head,Married,Male,Herpetologist,None,No Religion
8,Henry Gardens,Pauline,Smith,57,Wife,Married,Female,Intelligence analyst,None,No Religion
9,Henry Gardens,Diane,Pickering,68,Head,Widowed,Female,"Retired Designer, textile",None,Christian
10,Henry Gardens,Lesley,Jones,72,Head,Single,Female,Retired Legal secretary,None,No Religion
11,Henry Gardens,Alexander,Ellis,52,Head,Divorced,Male,Historic buildings inspector/conservation officer,None,No Religion
12,Henry Gardens,Judith,Williams,50,Head,Single,Female,Video editor,None,No Religion
13,Henry Gardens,Kelly,Watts,42,Head,Single,Female,Manufacturing engineer,None,No Religion
13,Henry Gardens,Martin,Phillips,50,Partner,Single,Male,"Social research officer, government",None,No Religion
14,Henry Gardens,Joan,Owens,32,Head,Single,Female,Retail banker,None,Muslim
15,Henry Gardens,Jeffrey,Shepherd,72,Head,Married,Male,Retired Chartered loss adjuster,None,Christian
15,Henry Gardens,Chloe,Shepherd,70,Wife,Married,Female,Unemployed,None,No Religion
16,Henry Gardens,Jade,Hill,82,Head,Widowed,Female,Retired Midwife,None,Christian
17,Henry Gardens,Steven,Davies,70,Head,Married,Male,Retired Geochemist,None,Christian
17,Henry Gardens,Shirley,Davies,68,Wife,Married,Female,Retired Newspaper journalist,None,Christian
18,Henry Gardens,Leanne,Lee,26,Head,Married,Female,Engineering geologist,None,Christian
18,Henry Gardens,Danny,Lee,28,Husband,Married,Male,Museum/gallery curator,None,No Religion
18,Henry Gardens,Jayne,Lee,1,Daughter,NA,Female,Child,None,Christian
19,Henry Gardens,Aimee,Baker,45,Head,Single,Female,Transport planner,None,Christian
19,Henry Gardens,Kevin,Scott,49,Partner,Single,Male,Multimedia programmer,None,No Religion
19,Henry Gardens,Jacqueline,Baker,16,Daughter,NA,Female,Student,None,Christian
20,Henry Gardens,Anthony,Parker,50,Head,Divorced,Male,Unemployed,None,Christian
21,Henry Gardens,Frederick,Harrison,40,Head,Single,Male,"Designer, television/film set",None,No Religion
22,Henry Gardens,Ronald,Porter,56,Head,Single,Male,"Engineer, broadcasting (operations)",None,Christian
22,Henry Gardens,Katy,Matthews,54,Partner,Single,Female,Operations geologist,None,Christian
23,Henry Gardens,Natalie,Sinclair,20,Head,Married,Female,University Student,None,No Religion
23,Henry Gardens,Carl,Sinclair,21,Husband,Married,Male,University Student,None,No Religion
24,Henry Gardens,Matthew,Godfrey,25,Head,Single,Male,Education administrator,None,No Religion
1,Mistletoe Throughway,Margaret,Shaw,45,Head,Married,Female,Local government officer,None,No Religion
1,Mistletoe Throughway,Kyle,Shaw,45,Husband,Married,Male,Unemployed,None,No Religion
1,Mistletoe Throughway,Henry,Shaw,12,Son,NA,Male,Student,None,NA
1,Mistletoe Throughway,Carole,Grant-Shaw,10,Daughter,NA,Female,Student,None,NA
2,Mistletoe Throughway,Sally,Foster,81,Head,Widowed,Female,Retired Air broker,None,Christian
3,Mistletoe Throughway,Denise,Sinclair,35,Head,Single,Female,Emergency planning/management officer,None,No Religion
3,Mistletoe Throughway,Glen,Boyle,36,Partner,Single,Male,"Designer, interior/spatial",None,No Religion
3,Mistletoe Throughway,Kayleigh,Sinclair,2,Daughter,NA,Female,Child,None,No Religion
3,Mistletoe Throughway,Phillip,Edwards,22,Lodger,Single,Male,University Student,None,No Religion
4,Mistletoe Throughway,Jeremy,Cameron,49,Head,Widowed,Male,Radiation protection practitioner,None,Christian
4,Mistletoe Throughway,Mitchell,Cameron,11,Son,NA,Male,Student,None,NA
4,Mistletoe Throughway,Anna,Cameron,7,Daughter,NA,Female,Student,None,NA
4,Mistletoe Throughway,Amy,Chan-Cameron,3,Daughter,NA,Female,Child,None,NA
4,Mistletoe Throughway,Joshua,Chan-Cameron,1,Son,NA,Male,Child,None,NA
5,Mistletoe Throughway,Marion,Lee,45,Head,Married,Female,Animal technologist,None,No Religion
5,Mistletoe Throughway,James,Lee,49,Husband,Married,Male,Consulting civil engineer,None,No Religion
5,Mistletoe Throughway,Caroline,Lee,22,Daughter,Divorced,Female,University Student,None,No Religion
5,Mistletoe Throughway,Carl,Lee,22,Son,Single,Male,University Student,None,No Religion
5,Mistletoe Throughway,Damian,Lee,2,Son,NA,Male,Child,None,No Religion
6,Mistletoe Throughway,Grace,Russell,32,Head,Single,Female,Homeopath,None,Sikh
7,Mistletoe Throughway,Mark,Williams,61,Head,Single,Male,Manufacturing systems engineer,None,No Religion
7,Mistletoe Throughway,Kelly,Smith,34,None,Single,Female,Video editor,None,Christian
7,Mistletoe Throughway,Alison,Robinson,58,None,Single,Female,Insurance claims handler,None,Christian
7,Mistletoe Throughway,Danny,Davies,48,None,Single,Male,Emergency planning/management officer,None,No Religion
7,Mistletoe Throughway,Clive,Morley,38,None,Single,Male,Unemployed,None,No Religion
1,Hartley Cape,Gordon,Walsh,62,Head,Divorced,Male,Associate Professor,None,No Religion
2,Hartley Cape,Jacob,Richards,43,Head,Divorced,Male,Land/geomatics surveyor,None,No Religion
3,Hartley Cape,Amy,Morley,57,Head,Single,Female,Microbiologist,None,Christian
4,Hartley Cape,Sean,Smith,29,Head,Single,Male,Industrial/product designer,None,No Religion
5,Hartley Cape,Paula,Bishop,44,Head,Single,Female,"Psychotherapist, child",None,No Religion
6,Hartley Cape,Daniel,Slater,65,Head,Single,Male,Retail manager,None,Christian
7,Hartley Cape,Gemma,Ward,68,Head,Single,Female,Unemployed,None,Christian
7,Hartley Cape,Dale,Ward,39,Son,Single,Male,"Therapist, horticultural",None,No Religion
8,Hartley Cape,George,Wilson,85,Head,Widowed,Male,Retired Claims inspector/assessor,None,No Religion
9,Hartley Cape,Marie,Smith,69,Head,Widowed,Female,Unemployed,None,Christian
10,Hartley Cape,Gareth,Walker,20,Head,Single,Male,University Student,None,Christian
11,Hartley Cape,Kieran,Lane,35,Head,Single,Male,"Engineer, civil (consulting)",None,Christian
12,Hartley Cape,Declan,Cooke,50,Head,Single,Male,Unemployed,None,Christian
12,Hartley Cape,Teresa,Cooke,16,Step-Daughter,NA,Female,Student,None,NA
13,Hartley Cape,Justin,Hill,52,Head,Married,Male,Midwife,None,Christian
13,Hartley Cape,Georgina,Hill,50,Wife,Married,Female,Economist,None,Christian
14,Hartley Cape,Megan,Harris,26,Head,Single,Female,Art gallery manager,None,No Religion
14,Hartley Cape,Howard,Butler,27,Partner,Single,Male,Rural practice surveyor,None,No Religion
15,Hartley Cape,Katherine,Wright,80,Head,Married,Female,Retired Research scientist (medical),None,Christian
15,Hartley Cape,Frank,Wright,82,Husband,Married,Male,"Retired Producer, television/film/video",None,No Religion
16,Hartley Cape,Charlene,Lewis,42,Head,Single,Female,Haematologist,None,Christian
16,Hartley Cape,Adam,Dixon,45,Partner,Single,Male,Unemployed,None,Christian
16,Hartley Cape,Marian,Lewis,7,Daughter,NA,Female,Student,None,Christian
16,Hartley Cape,Marc,Lewis,3,Son,NA,Male,Child,None,Christian
17,Hartley Cape,Howard,Clarke,44,Head,Single,Male,Unemployed,None,Christian
18,Hartley Cape,Lisa,Jackson,26,Head,Married,Female,Unemployed,None,Muslim
18,Hartley Cape,Jeffrey,Jackson,30,Husband,Married,Male,"Copywriter, advertising",None,Muslim
